4EFB,5408,5728,5B57,56E0,5411
0.0001256016939791946,9.02291438948698e-12,4.071555671304866e-08,2.979892134142242e-11,7.033057209398764e-06,0.05669367918154425
2.016669740969899e-05,3.699703434637979e-08,4.490398218261093e-06,2.257504295093864e-09,7.418062850641787e-06,0.05122380837518056
5.185622122902492e-06,3.000275896108535e-06,1.944492650954877e-07,2.397317920063209e-08,1.77864188445017e-05,0.0007208059389741949
0.0001188825072292873,4.32630576536334e-06,4.61514414759097e-09,1.09579411101105e-33,2.497031207273804e-05,0.05381759588285326
0.0001269238514228848,3.405511097955298e-08,5.823002532539428e-08,1.525246247944336e-07,3.746137314166733e-07,0.008950549321010172
0.0002580827451743524,4.341264259657582e-14,9.822643235851572e-07,9.487859099773272e-09,7.141149944410356e-05,0.06137356125941869
5.232106738959744e-05,8.924637994112182e-10,5.317264105126449e-11,1.582549701759164e-10,2.100159824208558e-06,0.0944603429460488
2.220496306535738e-05,1.907036542560415e-08,2.871738409195388e-08,4.418261900390957e-12,6.933743593764083e-05,0.05993882948555517
1.220614309858341e-06,4.115724496562647e-08,6.17235884299098e-08,1.233167807056803e-15,2.085132362793762e-06,0.0566802309228818
5.545009937319936e-06,9.300402504935081e-08,2.120946096828008e-07,2.649179141273363e-13,2.584626981765138e-06,0.05059043762343105
3.349279245072959e-06,5.883356312726615e-12,1.013678300958399e-07,4.094887654416403e-11,0.0001283930372294413,0.05657486880188988
2.650874050735473e-09,1.841880739733765e-18,3.886312573147926e-09,3.775108805187095e-14,1.403911093386397e-06,0.05408405559265516
0.0002971181639987693,3.304831761183813e-15,1.927402009476293e-06,1.229558159385666e-08,2.551807589072403e-05,0.0693936518271219
1.743144938133751e-05,2.409553278318824e-07,1.800620486840989e-08,1.133053783031668e-23,7.931539594157795e-06,0.0573611847244993
6.280517436357e-05,7.278150594636655e-14,1.342134559543162e-06,9.475440109565566e-09,1.339939166348904e-05,0.05163712635512695
9.90121794946026e-06,9.135478368015155e-09,4.07011912504364e-07,2.213185526824728e-08,0.0001668459734884912,0.05255583537866269
2.524217191879889e-05,3.700038967483312e-15,6.595499569118889e-11,1.425417564123312e-09,5.067953117492685e-07,0.05458308250545293
0.0005794817952334392,1.440190062448153e-12,9.682463967440915e-06,0.000140097689101984,8.454953871680026e-07,0.07374886591648122
1.57858424356384e-08,6.807851130640149e-08,9.386169013250943e-08,6.750459875883217e-10,4.994489979508425e-05,0.06022415088340803
2.607877105787781e-05,3.444105761222307e-16,4.984149463399345e-07,4.488757561788392e-10,9.523973355192138e-05,0.0503681731712194
4.876921756817959e-06,2.399965877882174e-08,6.318478077969139e-09,1.103577562894213e-05,2.054561143487394e-05,0.05413101368343259
0.0001635905671214414,1.087324946817148e-05,1.171616447426122e-06,1.970973143377115e-09,2.171314856885591e-06,0.001808276065341166
2.355828350785396e-06,8.913160505745695e-07,2.67290859440683e-08,1.373709707479575e-09,1.15980290888085e-05,0.05719134084518655
2.169668377315633e-05,6.143527525521541e-15,1.185981709944653e-05,1.993081280843262e-09,5.505562371662947e-07,0.05401287743103265
7.591153603381059e-07,5.41563160584685e-18,4.257405797708501e-06,1.680989121593804e-09,1.430104402031808e-05,0.05580288448518143
4.568377820008035e-10,2.83005850985032e-11,6.93739777142915e-09,0.0001352240042185704,1.299724920425227e-10,0.05234976844586746
0.0003109120851702451,9.635544159143327e-09,2.005578954206876e-06,2.751112439118743e-13,2.367352349108466e-05,0.05227913021856014
1.206523947387905e-05,0.0002053131458982624,3.039989838400859e-08,9.730156797425263e-08,7.462719028622561e-05,0.06030894915996392
4.989052692814121e-06,1.021740631493128e-10,3.523068290542546e-07,1.675121603929177e-10,1.517049505118744e-06,0.05061889479494194
3.084238743640917e-08,4.74244887936803e-16,1.994168035537668e-06,0.0002567167896845957,1.082092323212499e-05,0.01815714637364403
2.171104185271262e-06,5.058955040426011e-10,5.640585296835662e-08,7.449059605025108e-08,1.365677656564145e-05,0.05068272871328381
0.0003806948041907656,6.549976423745455e-07,1.88622508110641e-05,1.650095575325399e-07,2.918245674121022e-08,0.06178863061133313
4.416386223147491e-09,1.208185398000758e-06,6.142156659638486e-11,1.428577938824387e-26,4.939595123298665e-07,0.05377129302556367
2.140406941070428e-05,1.112483247915813e-08,5.472296444651546e-06,1.367276752352433e-11,4.657722666603271e-05,0.06466742113981039
5.296569697334178e-06,6.688801896322783e-12,8.058865741833182e-07,2.568463556421611e-05,7.975639745370962e-06,0.00861749440999832
4.819572256255243e-08,9.1485751124707e-09,2.366576568336738e-09,3.940813629212757e-18,2.765914784567615e-07,0.05184595476565525
1.404314002750978e-07,2.134094550768447e-12,4.116139367511248e-07,8.882342529155962e-11,1.235353711907234e-09,0.0571575842743656
9.244260344447377e-07,4.166708978790313e-08,1.683127688915339e-07,1.460858661308111e-09,0.0001472862406363085,0.002135129827421122
7.349167600111302e-06,4.012303126234526e-06,1.779439190956396e-08,2.872149710851696e-14,8.049886644557055e-06,0.05141847560395069
1.889567419747131e-08,9.629990683538046e-18,4.056404243765867e-07,1.127578056289967e-09,6.477922447309843e-06,0.05475577277692468
0.0002140551133049886,1.143337675173286e-07,1.666640453899403e-08,2.262591438640762e-14,1.346692965725704e-05,0.05017798146168504
1.181822402715208e-06,2.46790424839951e-11,1.013868372381138e-09,9.360044456880217e-43,3.732247002203506e-06,0.05595470455221327
0.0001178805853689107,9.992168044558918e-06,2.41393939678763e-07,1.12166378312714e-16,1.002242115549239e-05,0.004852383020022493
1.737100289454646e-08,4.701473834601223e-17,1.353625795151812e-10,1.084682066000458e-12,1.58386639429283e-07,0.06874402248072577
0.0002181921862975377,6.3352990395985e-11,7.992324079099325e-06,2.549899236220248e-10,4.565988826402327e-05,0.05551529345440663
1.775989344270084e-05,1.894901934962477e-11,1.909796173087811e-07,2.613410536559903e-11,3.810021633028201e-05,0.05522597203065256
9.453295503849322e-06,5.2221409522598e-07,3.895016218749494e-06,3.939725624520728e-26,6.8542574938632e-06,0.05190687922122207
2.302595061144497e-05,8.414510242011943e-07,8.411524331808993e-08,2.317980664700148e-16,8.211299088791328e-06,0.05820389330006354
1.029467562542533e-06,7.991809100290536e-06,5.549925382769914e-11,1.248994495909774e-32,3.478787675039136e-07,0.06273787766729669
5.817672737330619e-08,4.737260171476675e-08,2.024490085371696e-07,1.131008312474645e-09,9.521038312855178e-05,0.05406201349935089
0.0004334195224028895,4.791278278409511e-07,2.430391569326803e-09,1.432207883561967e-21,1.075633448690761e-06,0.05443842806314215
0.0001886627197543894,9.917126638130997e-11,2.035416747743141e-06,2.867576103492901e-08,1.479082212397481e-05,0.05273381863903709
0.0001166052138222689,2.253960962364606e-09,1.348264533692973e-09,0.0003445631082451063,1.572924588151332e-06,0.05086468463435417
5.106952831768124e-05,7.290600379259431e-09,1.021171020863659e-07,2.546493045416047e-11,7.624243681447743e-06,0.0656607286615653
5.182828745935866e-07,2.374200766871424e-13,4.165992007062755e-07,4.926117485833048e-11,6.031740176339852e-07,0.0648322106462049
1.540938851677858e-06,1.229207509498823e-10,3.303440153858696e-07,1.036809359134257e-08,5.172005532879872e-06,0.009493323877679143
7.84580078530093e-06,1.209419145053683e-10,1.172885974873511e-07,1.2969906379753e-10,5.5005991925216e-06,0.06054059330245126
1.054593518708824e-07,1.827633384495636e-08,7.777949797036269e-08,1.198892469438524e-11,3.772186951630228e-06,0.05404034237997419
0.0001207672324820434,1.548149679358664e-06,1.350401110810404e-06,5.061693130800325e-11,2.240422856310823e-06,0.01390329347360339
0.0009735161595280237,6.188529689394151e-07,4.754156576772639e-06,1.847226607911543e-05,5.353810774166392e-06,0.05356714599592737
0.0006181103094996694,6.851790321496971e-06,3.599911909255792e-09,1.580291231062476e-19,3.013538706253706e-06,0.05450364608160655
3.787010907134842e-07,7.184129981394521e-06,1.289691421538206e-07,1.641445811597934e-16,8.287696409424916e-07,0.05175683323276806
3.03032931269328e-05,2.118114151858944e-08,1.158852961213802e-06,9.947301920878133e-10,3.290831098223741e-06,0.05229688625191311
4.097290552601626e-06,0.0007174434744968097,7.169824279186473e-07,2.456800450594719e-05,2.939144125879748e-05,0.05491004885432088
3.264450894248787e-05,3.026140499521816e-07,2.317318775977822e-06,3.543701275911999e-13,2.921077919149787e-05,0.05625973151478922
2.343225861905443e-07,2.674857278571073e-13,1.315318042997168e-07,9.674242003587363e-22,7.063264069866099e-07,0.05876542575722694
3.893023090930619e-07,2.298060303802152e-12,2.44260026249921e-13,6.158740866971961e-06,1.948094883740705e-06,0.006188423006190409
1.764464193632785e-06,3.056998171917504e-08,1.010144803632856e-07,1.766072416812807e-10,1.730225832058108e-06,0.0569666858813359
0.0002520437478281435,2.625659464586046e-11,9.402946463763015e-09,1.160664823876439e-13,1.372685159685468e-05,0.05372217213534124
3.082710345572222e-08,1.22460016787724e-07,9.529442300835376e-06,1.105483910542038e-06,0.0001976849113700704,0.05270759498870708
3.976987954435869e-05,4.148583918772322e-19,1.960904277567647e-08,5.00760302603702e-08,1.340087263571634e-06,0.05423401889348591
6.033089413040351e-05,1.21905729149927e-07,5.157313100819399e-08,8.784713215334878e-16,3.196517528111871e-06,0.0644072552497776
3.125084594218946e-10,1.201338383459132e-11,2.929461721632711e-07,2.627505962474172e-10,5.939364260096164e-07,0.05976436031388136
2.299103227272957e-08,5.260377083113245e-12,7.823940949272729e-08,2.172764671229579e-05,7.628386318144386e-08,0.06136998627720183
5.330873745056377e-08,1.752681732446236e-09,3.543632752729739e-08,1.933940470747312e-15,8.95112288170848e-05,0.0583609122293678
1.005150846140712e-05,1.306858363873191e-08,1.124900535692091e-06,4.022656425055014e-08,1.066078647735337e-06,0.05370348072353332
5.665718469017781e-05,1.003126187430846e-06,1.806787191631677e-06,5.013778879380395e-18,1.574750798183205e-06,0.05532864495648725
1.63584010246464e-05,6.088103829369998e-07,2.736829720165094e-13,3.536199932231452e-30,6.733385126380965e-07,0.05918915458997933
6.605250755786485e-05,8.237191082747179e-14,2.160993299847023e-07,3.996597038769079e-10,5.094473188603475e-08,0.008636048840278571
